Public Engagement with Diverse Communities in Medford [2013],"with an overall goal of facilitating outreach in minority neighborhoods, this  report describes the process behind a successful collaborative outreach project  based on bottom-up outreach strategies.","herrera roanel",science
Public Engagement with Diverse Communities in Medford [2013],"with an overall goal of facilitating outreach in minority neighborhoods, this  report describes the process behind a successful collaborative outreach project  based on bottom-up outreach strategies.","herrera roanel sandoval gerardo",physics
Opinion 1041,"volume: 32","biostor",science
Investigating the Molecular Mechanisms of Splicing-Perturbing Small Molecules with Massively Parallel Sequencing in a Myotonic Dystrophy 1 Model,"myotonic dystrophy is the most common form of adult-onset muscular dystrophy and appears in two forms: myotonic dystrophy 1 (om 1) and 2 (dm2). both  diseases arc characterized by progressive muscle degeneration, myotonia, iridescent, cataracts, and in severe cases neurodcgcncration and cardiac dysfunction. both forms of myotonic dystrophy are caused by an expansion of repeat dna in distinct loci in the genome. in dm1, a ctg repeat is expanded from less than 50 repeats in normal individuals to up to several thousand repeats in dm1 patients. the molecular basis of this disease relics on the transcription of these repeats from dna into rna. small molecules that can specifically target the repeats at the dna level and inhibit their  transcription - and thus alleviate the disease symptoms - represent a prime target for the  development of therapeutics. this study investigates the capacity of two small molecules, pentamidine and actinomycin d, to reverse the molecular symptoms of dm1 through transcriptional inhibition and provides insight into their dna target specificity and potential mechanisms of action.","tanner matthew",physics
Rogue Valley Transportation District Community Perceptions of Transit,"the purpose of this study was to gather the perceptions of regional stakeholders, such as students, municipalities, businesses, and residents about their perception of transit enhancements along the highway 99 corridor. specifically, it sought to analyze and gather the opinions and ideas about options for transit enhancements between central point and ashland. ultimately this report is to be used as a guide to assist rvtd in the preparation for an intensive planning process to make decisions on whether to pursue high capacity transit improvements in the rogue valley.","university of oregon dept of planning public policy and management community planning workshop"
Selling Native Americans Through Sports,"15 page paper, 8 page slide presentation.","debeau garrett",science
Selling Native Americans Through Sports,"15 page paper, 8 page slide presentation.","debeau garrett sprague graham",science
A Pilot Feasibility and Effectiveness Trial of the Family Check-Up Parenting Intervention with Spanish Preadolescents and Their Families: A Cultural Adaptation and Feasibility Study to Enhance Evidence-Based Intervention Research in Spain,"there is strong research support for the effectiveness and feasibility of family-centered, evidence-based programs (ebps) to prevent the developmental and negative effects of youth problem behaviors. despite this support, there is a relatively low rate of disseminating existing ebps to diverse nations and cultures, and there is even less research being conducted to evaluate the existing efforts towards dissemination and uptake. youth problem behavior prevention is a burgeoning area of psychological study in spain, yet spanish psychologists do not currently utilize evidence-based prevention approaches. this study aimed to fill gaps in the research related to understanding best practices in disseminating and evaluating the dissemination of ebps to international settings and to evaluating the uptake of a family-centered ebps for use in spain to prevent problem behavior in adolescence and adulthood.      the current study utilized a pretest/posttest with a follow-up, randomized control design to conduct a pilot feasibility and effectiveness trial of a family-centered ebp proven to effectively prevent problem behavior during adolescence. seventeen pre-adolescents (ages 9-12) and their parents from the seville metropolitan area in spain were randomly assigned to receive the family check-up intervention (fcu) or waitlist-control condition. this study used a multimodal, multi-agent approach to (1) examine intervention feasibility and uptake, (2) measure trends in youth adjustment and family management practices in the study sample, (3) examine differences in youth behavior and internalizing problems, and positive parenting, limit setting, and monitoring based on intervention group assignment, and (4) measure motivation to change based on random assignment to the intervention condition. results from mixed effects repeated analysis of variance analyses indicated that the intervention group made significant improvements in conduct and internalizing problems and in parental limit setting, positive parenting, and family problem solving. these quantitative findings coupled with confirmatory qualitative themes suggest that the intervention was both effective in reducing youth adjustment problems and enhancing parenting skills and feasible when applied within the spanish cultural context. implications of culturally sensitive, community-based methods of intervention dissemination are discussed.","margolis kathryn",science
A Pilot Feasibility and Effectiveness Trial of the Family Check-Up Parenting Intervention with Spanish Preadolescents and Their Families: A Cultural Adaptation and Feasibility Study to Enhance Evidence-Based Intervention Research in Spain,"there is strong research support for the effectiveness and feasibility of family-centered, evidence-based programs (ebps) to prevent the developmental and negative effects of youth problem behaviors. despite this support, there is a relatively low rate of disseminating existing ebps to diverse nations and cultures, and there is even less research being conducted to evaluate the existing efforts towards dissemination and uptake. youth problem behavior prevention is a burgeoning area of psychological study in spain, yet spanish psychologists do not currently utilize evidence-based prevention approaches. this study aimed to fill gaps in the research related to understanding best practices in disseminating and evaluating the dissemination of ebps to international settings and to evaluating the uptake of a family-centered ebps for use in spain to prevent problem behavior in adolescence and adulthood.      the current study utilized a pretest/posttest with a follow-up, randomized control design to conduct a pilot feasibility and effectiveness trial of a family-centered ebp proven to effectively prevent problem behavior during adolescence. seventeen pre-adolescents (ages 9-12) and their parents from the seville metropolitan area in spain were randomly assigned to receive the family check-up intervention (fcu) or waitlist-control condition. this study used a multimodal, multi-agent approach to (1) examine intervention feasibility and uptake, (2) measure trends in youth adjustment and family management practices in the study sample, (3) examine differences in youth behavior and internalizing problems, and positive parenting, limit setting, and monitoring based on intervention group assignment, and (4) measure motivation to change based on random assignment to the intervention condition. results from mixed effects repeated analysis of variance analyses indicated that the intervention group made significant improvements in conduct and internalizing problems and in parental limit setting, positive parenting, and family problem solving. these quantitative findings coupled with confirmatory qualitative themes suggest that the intervention was both effective in reducing youth adjustment problems and enhancing parenting skills and feasible when applied within the spanish cultural context. implications of culturally sensitive, community-based methods of intervention dissemination are discussed.","margolis kathryn stormshak elizabeth",physics
RECLAIMING URBAN SPACE: A Study of Arterial Street Redesigns,"arterial streets, because of their commonly accepted function of  optimizing safe and efficient traffic flow, tend to be automobiledominated  by definition. however, their role as primary linkages among  neighborhoods and regions suggests that they can serve a broader  function in the internal cohesion of cities. indeed, many communities  are now searching for ways in which arterial streets can provide walkable,  inviting, human-scale urban space while also supporting appropriate  traffic movement.  because municipal capital-project budgets tend to be severely  constrained, redesign measures must also be cost-effective and produce  clear results in the public perception of the affected streets. the purpose  of this project is to study how the design of the street cross-section can  advance these goals. specifically, what cross-sectional design strategies  most effectively create good urban space in arterial corridors?  the effort to answer this question focuses on five arterial streets that  underwent recent cross-sectional design changes aimed at improving  conditions for all users, including pedestrians, cyclists, transit riders,  drivers, business owners, and residents. the costs and benefits of each  redesign are analyzed in terms of both economics and urban design, using  before-and-after google street view images and gis data.","reid daniel",science
